,permissions_num,permissions_name,_%_samples_benign,_%_samples_malicious,_%_samples_manipulated,_benign/_malicious,_manipulated/_malicious
0,{91},{'INTERNET'},78.51,98.24,78.63,0.8,0.8
1,{40},{'ACCESS_WIFI_STATE'},13.43,58.83,0.02,0.23,0.0
2,"{40, 114, 83}","{'READ_PHONE_STATE', 'ACCESS_NETWORK_STATE', 'ACCESS_WIFI_STATE'}",6.15,57.18,0.0,0.11,0.0
3,{62},{'ACCESS_COARSE_LOCATION'},12.96,57.44,0.07,0.23,0.0
4,"{114, 83, 62}","{'READ_PHONE_STATE', 'ACCESS_COARSE_LOCATION', 'ACCESS_NETWORK_STATE'}",5.35,55.76,0.05,0.1,0.0
5,"{40, 114}","{'READ_PHONE_STATE', 'ACCESS_WIFI_STATE'}",6.4,57.62,0.0,0.11,0.0
6,"{89, 83}","{'GET_TASKS', 'ACCESS_NETWORK_STATE'}",2.81,28.8,23.12,0.1,0.8
7,"{91, 157}","{'INTERNET', 'WRITE_EXTERNAL_STORAGE'}",29.41,75.68,0.03,0.39,0.0
8,"{40, 157}","{'WRITE_EXTERNAL_STORAGE', 'ACCESS_WIFI_STATE'}",8.23,50.43,0.0,0.16,0.0
9,"{65, 91, 62}","{'INTERNET', 'ACCESS_FINE_LOCATION', 'ACCESS_COARSE_LOCATION'}",11.0,51.14,0.07,0.22,0.0
10,"{40, 91, 157}","{'INTERNET', 'WRITE_EXTERNAL_STORAGE', 'ACCESS_WIFI_STATE'}",8.17,50.43,0.0,0.16,0.0
11,"{81, 83, 91}","{'RECEIVE_BOOT_COMPLETED', 'INTERNET', 'ACCESS_NETWORK_STATE'}",5.85,51.09,0.02,0.11,0.0
12,"{40, 83}","{'ACCESS_NETWORK_STATE', 'ACCESS_WIFI_STATE'}",12.56,57.5,0.02,0.22,0.0
13,"{81, 114}","{'RECEIVE_BOOT_COMPLETED', 'READ_PHONE_STATE'}",3.22,54.23,0.0,0.06,0.0
14,"{40, 114, 91}","{'INTERNET', 'READ_PHONE_STATE', 'ACCESS_WIFI_STATE'}",6.35,57.62,0.0,0.11,0.0
15,{89},{'GET_TASKS'},3.5,29.62,29.62,0.12,1.0
16,"{114, 91, 157}","{'INTERNET', 'READ_PHONE_STATE', 'WRITE_EXTERNAL_STORAGE'}",10.87,74.88,0.02,0.15,0.0
17,"{65, 114}","{'ACCESS_FINE_LOCATION', 'READ_PHONE_STATE'}",6.36,52.76,0.41,0.12,0.01
18,{81},{'RECEIVE_BOOT_COMPLETED'},7.72,55.35,0.02,0.14,0.0
19,"{40, 114, 91, 157}","{'INTERNET', 'READ_PHONE_STATE', 'WRITE_EXTERNAL_STORAGE', 'ACCESS_WIFI_STATE'}",5.04,50.19,0.0,0.1,0.0
20,"{91, 62}","{'INTERNET', 'ACCESS_COARSE_LOCATION'}",12.73,57.4,0.07,0.22,0.0
21,"{81, 91, 83, 114}","{'RECEIVE_BOOT_COMPLETED', 'INTERNET', 'READ_PHONE_STATE', 'ACCESS_NETWORK_STATE'}",2.75,50.84,0.0,0.05,0.0
22,"{114, 62}","{'READ_PHONE_STATE', 'ACCESS_COARSE_LOCATION'}",5.86,56.92,0.05,0.1,0.0
23,"{81, 83}","{'RECEIVE_BOOT_COMPLETED', 'ACCESS_NETWORK_STATE'}",5.94,51.09,0.02,0.12,0.0
24,"{65, 91}","{'INTERNET', 'ACCESS_FINE_LOCATION'}",15.05,53.09,42.8,0.28,0.81
25,"{65, 62}","{'ACCESS_FINE_LOCATION', 'ACCESS_COARSE_LOCATION'}",11.16,51.18,0.07,0.22,0.0
26,"{81, 114, 83}","{'RECEIVE_BOOT_COMPLETED', 'READ_PHONE_STATE', 'ACCESS_NETWORK_STATE'}",2.78,50.84,0.0,0.05,0.0
27,"{40, 114, 157}","{'WRITE_EXTERNAL_STORAGE', 'READ_PHONE_STATE', 'ACCESS_WIFI_STATE'}",5.05,50.19,0.0,0.1,0.0
28,"{81, 91}","{'RECEIVE_BOOT_COMPLETED', 'INTERNET'}",6.57,54.59,0.02,0.12,0.0
29,"{65, 114, 62}","{'ACCESS_FINE_LOCATION', 'ACCESS_COARSE_LOCATION', 'READ_PHONE_STATE'}",5.05,50.9,0.05,0.1,0.0
30,"{114, 157}","{'READ_PHONE_STATE', 'WRITE_EXTERNAL_STORAGE'}",11.09,74.91,0.02,0.15,0.0
31,"{40, 91}","{'INTERNET', 'ACCESS_WIFI_STATE'}",13.09,58.15,0.02,0.23,0.0
32,"{40, 91, 83}","{'INTERNET', 'ACCESS_NETWORK_STATE', 'ACCESS_WIFI_STATE'}",12.42,57.5,0.02,0.22,0.0
33,"{83, 91, 62}","{'INTERNET', 'ACCESS_COARSE_LOCATION', 'ACCESS_NETWORK_STATE'}",10.55,56.02,0.07,0.19,0.0
34,"{65, 91, 83, 114}","{'INTERNET', 'ACCESS_FINE_LOCATION', 'ACCESS_NETWORK_STATE', 'READ_PHONE_STATE'}",5.69,51.64,0.36,0.11,0.01
35,{114},{'READ_PHONE_STATE'},19.01,95.52,0.41,0.2,0.0
36,"{114, 91, 62}","{'INTERNET', 'READ_PHONE_STATE', 'ACCESS_COARSE_LOCATION'}",5.82,56.92,0.05,0.1,0.0
37,{83},{'ACCESS_NETWORK_STATE'},58.6,85.62,68.54,0.68,0.8
38,"{89, 91}","{'INTERNET', 'GET_TASKS'}",3.23,28.94,23.23,0.11,0.8
39,"{40, 91, 83, 157}","{'INTERNET', 'WRITE_EXTERNAL_STORAGE', 'ACCESS_NETWORK_STATE', 'ACCESS_WIFI_STATE'}",7.81,50.1,0.0,0.16,0.0
40,"{89, 91, 83}","{'INTERNET', 'GET_TASKS', 'ACCESS_NETWORK_STATE'}",2.79,28.8,23.12,0.1,0.8
41,"{114, 83}","{'READ_PHONE_STATE', 'ACCESS_NETWORK_STATE'}",15.32,84.36,0.36,0.18,0.0
42,"{40, 91, 83, 114}","{'INTERNET', 'READ_PHONE_STATE', 'ACCESS_NETWORK_STATE', 'ACCESS_WIFI_STATE'}",6.12,57.18,0.0,0.11,0.0
43,"{91, 83, 62, 114}","{'INTERNET', 'ACCESS_COARSE_LOCATION', 'ACCESS_NETWORK_STATE', 'READ_PHONE_STATE'}",5.34,55.76,0.05,0.1,0.0
44,"{83, 157}","{'ACCESS_NETWORK_STATE', 'WRITE_EXTERNAL_STORAGE'}",24.54,69.29,0.03,0.35,0.0
45,"{65, 83, 91}","{'INTERNET', 'ACCESS_FINE_LOCATION', 'ACCESS_NETWORK_STATE'}",12.03,51.82,41.83,0.23,0.81
46,"{91, 83, 157}","{'INTERNET', 'ACCESS_NETWORK_STATE', 'WRITE_EXTERNAL_STORAGE'}",24.45,69.29,0.03,0.35,0.0
47,"{91, 114, 83}","{'INTERNET', 'READ_PHONE_STATE', 'ACCESS_NETWORK_STATE'}",15.24,84.33,0.36,0.18,0.0
48,"{81, 114, 91}","{'RECEIVE_BOOT_COMPLETED', 'INTERNET', 'READ_PHONE_STATE'}",2.98,54.2,0.0,0.05,0.0
49,{157},{'WRITE_EXTERNAL_STORAGE'},32.47,75.73,0.05,0.43,0.0
50,"{91, 114, 83, 157}","{'INTERNET', 'READ_PHONE_STATE', 'ACCESS_NETWORK_STATE', 'WRITE_EXTERNAL_STORAGE'}",9.84,68.83,0.02,0.14,0.0
51,"{40, 83, 157}","{'WRITE_EXTERNAL_STORAGE', 'ACCESS_NETWORK_STATE', 'ACCESS_WIFI_STATE'}",7.83,50.1,0.0,0.16,0.0
52,"{114, 91}","{'INTERNET', 'READ_PHONE_STATE'}",18.22,95.4,0.36,0.19,0.0
53,"{114, 83, 157}","{'READ_PHONE_STATE', 'ACCESS_NETWORK_STATE', 'WRITE_EXTERNAL_STORAGE'}",9.86,68.83,0.02,0.14,0.0
54,{65},{'ACCESS_FINE_LOCATION'},15.49,53.12,53.12,0.29,1.0
55,"{65, 114, 83}","{'ACCESS_FINE_LOCATION', 'ACCESS_NETWORK_STATE', 'READ_PHONE_STATE'}",5.7,51.64,0.36,0.11,0.01
56,"{83, 91}","{'INTERNET', 'ACCESS_NETWORK_STATE'}",58.26,85.59,68.5,0.68,0.8
57,"{83, 62}","{'ACCESS_COARSE_LOCATION', 'ACCESS_NETWORK_STATE'}",10.58,56.02,0.07,0.19,0.0
58,"{65, 114, 91, 62}","{'INTERNET', 'ACCESS_FINE_LOCATION', 'ACCESS_COARSE_LOCATION', 'READ_PHONE_STATE'}",5.03,50.9,0.05,0.1,0.0
59,"{65, 83}","{'ACCESS_FINE_LOCATION', 'ACCESS_NETWORK_STATE'}",12.07,51.82,41.83,0.23,0.81
60,"{65, 114, 91}","{'INTERNET', 'ACCESS_FINE_LOCATION', 'READ_PHONE_STATE'}",6.32,52.76,0.36,0.12,0.01
